r,g,b
145.0,156.0,186.0
145.0,156.0,186.0
146.0,157.0,187.0
147.0,158.0,188.0
147.0,158.0,188.0
148.0,159.0,189.0
149.0,160.0,190.0
149.0,160.0,190.0
151.0,162.0,192.0
151.0,162.0,192.0
152.0,163.0,193.0
152.0,163.0,193.0
152.0,163.0,193.0
153.0,164.0,194.0
153.0,164.0,194.0
153.0,164.0,194.0
151.0,160.0,189.0
152.0,161.0,190.0
153.0,162.0,191.0
154.0,163.0,192.0
156.0,165.0,194.0
157.0,166.0,195.0
158.0,167.0,196.0
158.0,167.0,196.0
157.0,166.0,195.0
157.0,166.0,195.0
157.0,166.0,195.0
158.0,167.0,196.0
158.0,167.0,196.0
158.0,167.0,196.0
159.0,168.0,197.0
159.0,169.0,196.0
161.0,168.0,196.0
161.0,168.0,194.0
161.0,168.0,194.0
162.0,169.0,195.0
162.0,169.0,195.0
162.0,169.0,195.0
163.0,170.0,196.0
163.0,170.0,196.0
163.0,170.0,196.0
163.0,170.0,196.0
163.0,170.0,196.0
163.0,170.0,196.0
163.0,170.0,196.0
163.0,170.0,196.0
163.0,170.0,196.0
161.0,171.0,196.0
162.0,171.0,200.0
161.0,172.0,200.0
161.0,172.0,200.0
161.0,172.0,200.0
161.0,172.0,200.0
161.0,172.0,200.0
161.0,172.0,200.0
161.0,172.0,200.0
158.0,169.0,197.0
159.0,170.0,198.0
161.0,172.0,200.0
162.0,173.0,201.0
162.0,173.0,201.0
161.0,172.0,200.0
159.0,170.0,198.0
158.0,169.0,197.0
160.0,174.0,201.0
160.0,174.0,201.0
160.0,174.0,201.0
160.0,174.0,201.0
160.0,174.0,201.0
160.0,174.0,201.0
160.0,174.0,201.0
160.0,174.0,201.0
162.0,176.0,203.0
162.0,176.0,203.0
162.0,176.0,203.0
162.0,176.0,203.0
162.0,176.0,203.0
162.0,176.0,203.0
162.0,176.0,203.0
162.0,176.0,203.0
164.0,178.0,207.0
164.0,178.0,207.0
164.0,178.0,207.0
164.0,178.0,207.0
164.0,178.0,207.0
164.0,178.0,207.0
164.0,178.0,207.0
164.0,178.0,207.0
164.0,178.0,207.0
164.0,178.0,207.0
164.0,178.0,207.0
164.0,178.0,207.0
164.0,178.0,207.0
164.0,178.0,207.0
164.0,178.0,207.0
164.0,178.0,207.0
164.0,177.0,209.0
164.0,177.0,209.0
164.0,177.0,209.0
164.0,177.0,209.0
164.0,177.0,209.0
164.0,177.0,209.0
